houseCode,houseRegion,houseName,houseAllPrice,houseType,houseSize,houseDirection,houseStatus,houseFloor,houseAddress,houseDistrict,houseElevator,Latitude,Longitude,type,use,houseYear,houseUnitPrice
1.03121E+11,花山区,东方明珠六村,155,3室1厅1厨1卫,110.06,南,简装,高楼层 (共18层),,江东,有,118.53318,31.719454,商品房,普通住宅,2022,14083
1.03121E+11,雨山区,映翠景苑,95,3室2厅1厨1卫,103.77,东南,毛坯,高楼层 (共18层),,安民,有,118.498473,31.663869,商品房,普通住宅,2022,9155
1.03121E+11,当涂县,豪邦君悦华庭,96.2,4室1厅1厨2卫,147.53,南 北,毛坯,中楼层 (共28层),,当涂县,暂无数据,118.4985571,31.58210649,商品房,普通住宅,2022,6521
1.0312E+11,花山区,绿地臻城一期,132,3室2厅1厨1卫,107.48,南 北,精装,中楼层 (共33层),,霍里,有,118.559507,31.695504,商品房,普通住宅,2022,12281
1.0312E+11,花山区,纺织新村,75,3室2厅1厨1卫,84.54,南,简装,中楼层 (共6层),,桃园,暂无数据,118.5198498,31.67397912,商品房,普通住宅,2022,8872
1.0312E+11,花山区,双岗新村,40,2室1厅1厨1卫,58.72,东南,简装,中楼层 (共7层),,安民,无,118.5097887,31.67748734,经济适用房,普通住宅,2022,6812
1.0312E+11,雨山区,汇翠名邸,135,3室2厅1厨1卫,119.01,南,简装,低楼层 (共18层),,雨山,有,118.506745,31.689232,商品房,普通住宅,2022,11344
1.03121E+11,雨山区,勤奋村,23,2室1厅1厨1卫,60,南 北,简装,高楼层 (共7层),,雨山,无,118.492484,31.685584,商品房,普通住宅,2022,3833
1.0312E+11,雨山区,华东·宁泽园,117,3室1厅1厨1卫,110.68,南,精装,低楼层 (共28层),,雨山,有,118.503768,31.689527,商品房,普通住宅,2022,10571
1.03121E+11,雨山区,中丞国宾府,198,4室2厅1厨2卫,133.72,南,毛坯,中楼层 (共8层),,佳山,有,118.520066,31.654377,商品房,普通住宅,2022,14807
1.03121E+11,雨山区,颐园世家,115,3室2厅1厨1卫,92.43,南,精装,中楼层 (共31层),,佳山,有,118.530991,31.668261,商品房,普通住宅,2022,12442
1.0312E+11,花山区,朝辉东方城三区,105,2室2厅1厨1卫,88.07,南,简装,低楼层 (共34层),,霍里,有,118.5419616,31.68063943,商品房,普通住宅,2022,11922
1.0312E+11,花山区,安粮秀山城市广场二期,126,3室2厅1厨1卫,105.87,南 北,毛坯,中楼层 (共32层),,霍里,有,118.5655793,31.69708109,商品房,普通住宅,2022,11901
1.0312E+11,花山区,东方城,79,2室2厅1厨2卫,63.16,南,精装,中楼层 (共20层),,霍里,有,118.541274,31.687375,商品房,普通住宅,2022,12508
1.0312E+11,雨山区,万嘉南苑二村,60,2室1厅1厨1卫,75.42,南 北,其他,中楼层 (共6层),,佳山,暂无数据,118.535792,31.667722,商品房,普通住宅,2022,7955
1.03121E+11,雨山区,颐园世家,102,2室1厅1厨1卫,88.16,南,精装,中楼层 (共31层),,佳山,有,118.530991,31.668261,商品房,普通住宅,2022,11570
