2022-05-29 14:22:19.748 | INFO     | crawler.crawler:run:210 - 开始采集第15页数据！
2022-05-29 14:22:19.749 | INFO     | crawler.crawler:start:238 - 启动采集成功
2022-05-29 14:22:29.961 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第1个房子的数据！url https://mas.lianjia.com/ershoufang/103120177114.html
2022-05-29 14:22:35.707 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:22:35.774 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第2个房子的数据！url https://mas.lianjia.com/ershoufang/103117442627.html
2022-05-29 14:22:41.115 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:22:41.129 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第3个房子的数据！url https://mas.lianjia.com/ershoufang/103118236031.html
2022-05-29 14:22:49.138 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:22:49.214 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第4个房子的数据！url https://mas.lianjia.com/ershoufang/103120005431.html
2022-05-29 14:22:53.811 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:22:53.818 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第5个房子的数据！url https://mas.lianjia.com/ershoufang/103119349302.html
2022-05-29 14:22:58.800 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:22:58.804 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第6个房子的数据！url https://mas.lianjia.com/ershoufang/103119429305.html
2022-05-29 14:23:05.200 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:05.204 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第7个房子的数据！url https://mas.lianjia.com/ershoufang/103114950130.html
2022-05-29 14:23:09.526 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:09.528 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第8个房子的数据！url https://mas.lianjia.com/ershoufang/103119072224.html
2022-05-29 14:23:13.923 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:13.926 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第9个房子的数据！url https://mas.lianjia.com/ershoufang/103118317826.html
2022-05-29 14:23:17.899 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:17.901 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第10个房子的数据！url https://mas.lianjia.com/ershoufang/103116839643.html
2022-05-29 14:23:22.949 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:22.952 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第11个房子的数据！url https://mas.lianjia.com/ershoufang/103119109686.html
2022-05-29 14:23:27.350 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:27.354 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第12个房子的数据！url https://mas.lianjia.com/ershoufang/103117910652.html
2022-05-29 14:23:34.478 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:34.510 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第13个房子的数据！url https://mas.lianjia.com/ershoufang/103120153522.html
2022-05-29 14:23:38.883 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:38.888 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第14个房子的数据！url https://mas.lianjia.com/ershoufang/103119561954.html
2022-05-29 14:23:43.724 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:43.728 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第15个房子的数据！url https://mas.lianjia.com/ershoufang/103120084021.html
2022-05-29 14:23:49.472 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:49.474 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第16个房子的数据！url https://mas.lianjia.com/ershoufang/103120055689.html
2022-05-29 14:23:53.921 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
2022-05-29 14:23:53.923 | INFO     | crawler.crawler:get_page_info:196 - 采集15页共30个房子，当前第17个房子的数据！url https://mas.lianjia.com/ershoufang/103117083505.html
2022-05-29 14:23:58.828 | INFO     | crawler.crawler:get_house_detail:171 - 更新数据库表！
